Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
battery_pack_base_link,-0.95,0,-0.1,0,0,0,552,68.08,-7.8419E-15,4.0486E-16,245.18,6.6498E-16,309.58,0,0,0,0,0,0,package://battery_pack/meshes/battery_pack_base_link.STL,1,1,1,1,0,0,0,0,0,0,package://battery_pack/meshes/battery_pack_base_link.STL,battery,平台-1,坐标系1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
sleeve_plate_link,0.0005113,-0.00023823,-0.033555,0,0,0,0.58226,0.00067784,-7.0925E-08,-7.5087E-07,0.00066736,3.231E-07,0.00093345,0,0,0,0,0,0,package://battery_pack/meshes/sleeve_plate_link.STL,1,1,1,1,0,0,0,0,0,0,package://battery_pack/meshes/sleeve_plate_link.STL,battery,套筒盘-1,坐标系2,Axis_sleeve_plate_joint,sleeve_plate_joint,fixed,0,0.45,0.065,0,0,0,battery_pack_base_link,0,0,0,,,,,,,,,,,,
M6_bolt_1_link,-1.0665E-07,-1.3585E-07,-0.011089,0,0,0,0.0013212,1.3904E-07,1.1478E-12,-2.8329E-11,1.3904E-07,5.0437E-11,1.0587E-08,0,0,0,0,0,0,package://battery_pack/meshes/M6_bolt_1_link.STL,1,1,1,1,0,0,0,0,0,0,package://battery_pack/meshes/M6_bolt_1_link.STL,bolt,螺栓-1,坐标系3,Axis_M6_bolt_1_joint,M6_bolt_1_joint,fixed,-0.5215,-0.404,0.0485,0,0,0,battery_pack_base_link,0,0,1,,,,,,,,,,,,
M6_gasket_1_link,1.1102E-16,-1.1102E-16,-0.003,0,0,0,9.9286E-05,1.3185E-09,-1.4343E-25,-6.2918E-27,1.3185E-09,3.9097E-29,2.6204E-09,0,0,0,0,0,0,package://battery_pack/meshes/M6_gasket_1_link.STL,1,1,1,1,0,0,0,0,0,0,package://battery_pack/meshes/M6_gasket_1_link.STL,bolt,M6垫圈-1,坐标系3,Axis_M6_gasket_1_joint,M6_gasket_1_joint,fixed,-0.5215,-0.404,0.0485,0,0,0,battery_pack_base_link,0,0,0,,,,,,,,,,,,
M6_bolt_2_link,-1.2416E-07,-1.2007E-07,-0.011089,0,0,0,0.0013212,1.3904E-07,1.2595E-12,-2.1199E-11,1.3904E-07,5.3824E-11,1.0587E-08,0,0,0,0,0,0,package://battery_pack/meshes/M6_bolt_2_link.STL,1,1,1,1,0,0,0,0,0,0,package://battery_pack/meshes/M6_bolt_2_link.STL,bolt,螺栓-2,坐标系4,Axis_M6_bolt_2_joint,M6_bolt_2_joint,fixed,-0.5215,-0.304,0.0485,0,0,0,battery_pack_base_link,0,0,0,,,,,,,,,,,,
M6_gasket_2_link,2.2204E-16,-4.4409E-16,-0.003,0,0,0,9.9286E-05,1.3185E-09,-1.4343E-25,-6.2918E-27,1.3185E-09,3.9097E-29,2.6204E-09,0,0,0,0,0,0,package://battery_pack/meshes/M6_gasket_2_link.STL,1,1,1,1,0,0,0,0,0,0,package://battery_pack/meshes/M6_gasket_2_link.STL,bolt,M6垫圈-2,坐标系4,Axis_M6_gasket_2_joint,M6_gasket_2_joint,fixed,-0.5215,-0.304,0.0485,0,0,0,battery_pack_base_link,0,0,0,,,,,,,,,,,,
M6_bolt_3_link,-9.4899E-08,-1.4431E-07,-0.011089,0,0,0,0.0013212,1.3904E-07,1.0362E-12,-3.2454E-11,1.3904E-07,4.7886E-11,1.0587E-08,0,0,0,0,0,0,package://battery_pack/meshes/M6_bolt_3_link.STL,1,1,1,1,0,0,0,0,0,0,package://battery_pack/meshes/M6_bolt_3_link.STL,bolt,螺栓-3,坐标系5,Axis_M6_bolt_3_joint,M6_bolt_3_joint,fixed,-0.5215,-0.204,0.0485,0,0,0,battery_pack_base_link,0,0,0,,,,,,,,,,,,
M6_gasket_3_link,5.5511E-17,0,-0.003,0,0,0,9.9286E-05,1.3185E-09,-1.4343E-25,-6.2918E-27,1.3185E-09,3.9097E-29,2.6204E-09,0,0,0,0,0,0,package://battery_pack/meshes/M6_gasket_3_link.STL,1,1,1,1,0,0,0,0,0,0,package://battery_pack/meshes/M6_gasket_3_link.STL,bolt,M6垫圈-3,坐标系5,Axis_M6_gasket_3_joint,M6_gasket_3_joint,fixed,-0.5215,-0.204,0.0485,0,0,0,battery_pack_base_link,0,0,0,,,,,,,,,,,,
M8_bolt_1_link,-1.7339E-08,-1.0782E-07,-0.011681,0,0,0,0.0021494,2.2689E-07,3.8314E-12,-1.9137E-11,2.2689E-07,9.7368E-11,2.5923E-08,0,0,0,0,0,0,package://battery_pack/meshes/M8_bolt_1_link.STL,1,1,1,1,0,0,0,0,0,0,package://battery_pack/meshes/M8_bolt_1_link.STL,bolt,M8螺栓-1,坐标系6,Axis_M8_bolt_1_joint,M8_bolt_1_joint,fixed,-0.5215,-0.104,0.0485,0,0,0,battery_pack_base_link,0,0,0,,,,,,,,,,,,
M8_gasket_1_link,5.5511E-17,-5.5511E-17,-0.003,0,0,0,0.00011965,2.232E-09,-8.1899E-26,-5.8695E-27,2.232E-09,-2.6964E-27,4.4442E-09,0,0,0,0,0,0,package://battery_pack/meshes/M8_gasket_1_link.STL,1,1,1,1,0,0,0,0,0,0,package://battery_pack/meshes/M8_gasket_1_link.STL,bolt,M8垫圈-1,坐标系6,Axis_M8_gasket_1_joint,M8_gasket_1_joint,fixed,-0.5215,-0.104,0.0485,0,0,0,battery_pack_base_link,0,0,0,,,,,,,,,,,,
M8_bolt_2_link,3.1115E-08,-1.0468E-07,-0.011681,0,0,0,0.0021494,2.2689E-07,2.0426E-12,-5.9454E-11,2.2689E-07,7.9448E-11,2.5923E-08,0,0,0,0,0,0,package://battery_pack/meshes/M8_bolt_2_link.STL,1,1,1,1,0,0,0,0,0,0,package://battery_pack/meshes/M8_bolt_2_link.STL,bolt,M8螺栓-2,坐标系7,Axis_M8_bolt_2_joint,M8_bolt_2_joint,fixed,-0.5215,-0.004,0.0485,0,0,0,battery_pack_base_link,0,0,0,,,,,,,,,,,,
M8_gasket_2_link,8.3267E-17,-2.2204E-16,-0.003,0,0,0,0.00011965,2.232E-09,-8.1899E-26,-3.8783E-27,2.232E-09,-1.8707E-27,4.4442E-09,0,0,0,0,0,0,package://battery_pack/meshes/M8_gasket_2_link.STL,1,1,1,1,0,0,0,0,0,0,package://battery_pack/meshes/M8_gasket_2_link.STL,bolt,M8垫圈-2,坐标系7,Axis_M8_gasket_2_joint,M8_gasket_2_joint,fixed,-0.5215,-0.004,0.0485,0,0,0,battery_pack_base_link,0,0,0,,,,,,,,,,,,
M8_bolt_3_link,1.7872E-08,-1.0774E-07,-0.011681,0,0,0,0.0021494,2.2689E-07,2.7861E-12,-4.9126E-11,2.2689E-07,8.6217E-11,2.5923E-08,0,0,0,0,0,0,package://battery_pack/meshes/M8_bolt_3_link.STL,1,1,1,1,0,0,0,0,0,0,package://battery_pack/meshes/M8_bolt_3_link.STL,bolt,M8螺栓-3,坐标系8,Axis_M8_bolt_3_joint,M8_bolt_3_joint,fixed,-0.5215,0.096,0.0485,0,0,0,battery_pack_base_link,0,0,0,,,,,,,,,,,,
M8_gasket_3_link,2.7756E-17,-1.1102E-16,-0.003,0,0,0,0.00011965,2.232E-09,-8.1899E-26,-3.8783E-27,2.232E-09,-1.8707E-27,4.4442E-09,0,0,0,0,0,0,package://battery_pack/meshes/M8_gasket_3_link.STL,1,1,1,1,0,0,0,0,0,0,package://battery_pack/meshes/M8_gasket_3_link.STL,bolt,M8垫圈-3,坐标系8,Axis_M8_gasket_3_joint,M8_gasket_3_joint,fixed,-0.5215,0.096,0.0485,0,0,0,battery_pack_base_link,0,0,0,,,,,,,,,,,,
M10_bolt_1_link,6.7137E-08,-1.4735E-07,-0.012051,0,0,0,0.003184,3.3964E-07,8.9575E-12,1.1026E-11,3.3963E-07,1.5169E-10,5.4565E-08,0,0,0,0,0,0,package://battery_pack/meshes/M10_bolt_1_link.STL,1,1,1,1,0,0,0,0,0,0,package://battery_pack/meshes/M10_bolt_1_link.STL,bolt,M10螺栓-1,坐标系9,Axis_M10_bolt_1_joint,M10_bolt_1_joint,fixed,-0.5215,0.196,0.0485,0,0,0,battery_pack_base_link,0,0,0,,,,,,,,,,,,
M10_gasket_1_link,0,-2.7756E-17,-0.003,0,0,0,0.00014002,3.5046E-09,1.9301E-25,-1.2888E-26,3.5046E-09,-8.9587E-27,6.986E-09,0,0,0,0,0,0,package://battery_pack/meshes/M10_gasket_1_link.STL,1,1,1,1,0,0,0,0,0,0,package://battery_pack/meshes/M10_gasket_1_link.STL,bolt,M10垫圈-1,坐标系9,Axis_M10_gasket_1_joint,M10_gasket_1_joint,fixed,-0.5215,0.196,0.0485,0,0,0,battery_pack_base_link,0,0,0,,,,,,,,,,,,
M10_bolt_2_link,1.6074E-07,-1.955E-08,-0.012051,0,0,0,0.003184,3.3963E-07,-2.1662E-12,-1.2369E-10,3.3964E-07,8.8507E-11,5.4565E-08,0,0,0,0,0,0,package://battery_pack/meshes/M10_bolt_2_link.STL,1,1,1,1,0,0,0,0,0,0,package://battery_pack/meshes/M10_bolt_2_link.STL,bolt,M10螺栓-2,坐标系10,Axis_M10_bolt_2_joint,M10_bolt_2_joint,fixed,-0.5215,0.296,0.0485,0,0,0,battery_pack_base_link,0,0,0,,,,,,,,,,,,
M10_gasket_2_link,5.5511E-17,-2.7756E-17,-0.003,0,0,0,0.00014002,3.5046E-09,3.033E-25,-1.4983E-26,3.5046E-09,-1.1844E-26,6.986E-09,0,0,0,0,0,0,package://battery_pack/meshes/M10_gasket_2_link.STL,1,1,1,1,0,0,0,0,0,0,package://battery_pack/meshes/M10_gasket_2_link.STL,bolt,M10垫圈-2,坐标系10,Axis_M10_gasket_2_joint,M10_gasket_2_joint,fixed,-0.5215,0.296,0.0485,0,0,0,battery_pack_base_link,0,0,0,,,,,,,,,,,,
M10_bolt_3_link,1.2249E-07,-1.0591E-07,-0.012051,0,0,0,0.003184,3.3963E-07,7.476E-12,-5.3259E-11,3.3964E-07,1.4246E-10,5.4565E-08,0,0,0,0,0,0,package://battery_pack/meshes/M10_bolt_3_link.STL,1,1,1,1,0,0,0,0,0,0,package://battery_pack/meshes/M10_bolt_3_link.STL,bolt,M10螺栓-3,坐标系11,Axis_M10_bolt_3_joint,M10_bolt_3_joint,fixed,-0.5215,0.396,0.0485,0,0,0,battery_pack_base_link,0,0,0,,,,,,,,,,,,
M10_gasket_3_link,5.5511E-17,1.7347E-17,-0.003,0,0,0,0.00014002,3.5046E-09,3.033E-25,-1.4983E-26,3.5046E-09,-1.1844E-26,6.986E-09,0,0,0,0,0,0,package://battery_pack/meshes/M10_gasket_3_link.STL,1,1,1,1,0,0,0,0,0,0,package://battery_pack/meshes/M10_gasket_3_link.STL,bolt,M10垫圈-3,坐标系11,Axis_M10_gasket_3_joint,M10_gasket_3_joint,fixed,-0.5215,0.396,0.0485,0,0,0,battery_pack_base_link,0,0,0,,,,,,,,,,,,
battery_link,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://battery_pack/meshes/battery_link.STL,1,1,1,1,0,0,0,0,0,0,package://battery_pack/meshes/battery_link.STL,platform,电池包-1,坐标系12,,battery_joint,fixed,-0.504,-0.504,0.035,0,0,0,battery_pack_base_link,0,0,0,,,,,,,,,,,,
